,MONTH,STORECODE,DAY,BILL_ID,BILL_AMT,QTY,VALUE,PRICE,GRP,SGRP,SSGRP,CMP,MBRD,BRD
822,M1,N1,10,T1135,247.2,2.0,50.0,25.0,TOOTH BRUSH   (7/93),MANUAL,MANUAL,PROCTER & GAMBLE,ORAL-B,ORAL-B 123
823,M1,N1,10,T1135,247.2,4.0,40.0,10.0,DETERGENT CAKES/BARS,DETERGENT CAKES/BARS,DETERGENT CAKES/BARS,SHIVANI DETERGENT PVT LTD,SARGAM,SARGAM
824,M1,N1,10,T1137,35.0,1.0,10.0,10.0,CONFECTIONERY - TOTAL GUM,CHEWING GUMS,CHEWING GUMS,PERFETTI VAN MELLE,HAPPYDENT,HAPPYDENT WHITE BAKING SODA
825,M1,N1,10,T1137,35.0,2.0,10.0,5.0,CONFECTIONERY - TOFFEE/HBC,TOFFEES,TOFFEES,PERFETTI VAN MELLE,CHUPA CHUPS,CHUPA CHUPS SOUR BELT
826,M1,N1,10,T1137,35.0,3.0,15.0,5.0,CHOCOLATE,COATED WAFER BISC,COATED WAFER BISC,GANDOUR INDIA FOOD PROCESSING,GANDOUR,GANDOUR
827,M1,N1,10,T1138,20.0,1.0,10.0,10.0,SALTY SNACKS (2/97),POTATO WAFERS,POTATO WAFERS,PEPSICO INDIA,LAYS,LAYS SPANISH TOMATO TANGO
828,M1,N1,10,T1138,20.0,1.0,10.0,10.0,BISCUITS - CORE & NON CORE,CREAM,CREAM,MONDELEZ INTERNATIONAL,OREO,OREO CHOCOLATE
829,M1,N1,10,T1139,5.0,1.0,5.0,5.0,SQSH CRDLS & SFT DRNK-CONVERTD,CONCTN POWDERS,CONCTN POWDERS,RASNA PVT LTD,RASNA,RASNA INSTA
830,M1,N1,10,T1141,59.8,1.0,10.0,10.0,DIAPERS       (8/93),DIAPERS       (8/93),DIAPERS       (8/93),UNICHARM INDIA PVT LTD,MAMY POKO PANTS,MAMY POKO PANTS STANDARD
831,M1,N1,10,T1141,59.8,2.0,30.0,15.0,KETCHUPS/SAUCES,KETCHUPS/SAUCES,KETCHUPS/SAUCES,HINDUSTAN UNILEVER LIMITED,KISSAN,KISSAN FRESH KETCHUP
832,M1,N1,10,T1141,59.8,2.0,10.0,5.0,VERMICELLI & NOODLE,INSTANT NOODLES,INSTANT NOODLES,I T C,SUNFEAST YIPPEE NOODLES,SUNFEAST YIPPEE MAGIC MASALA
833,M1,N1,10,T1141,59.8,1.0,9.8,9.8,BREAKFAST CEREALS,READY TO EAT CEREALS,KIDS,KELLOGG'S INDIA,KELLOGG'S KPAK,KELLOGG'S KPAK CRUNCHY BITES
834,M1,N1,10,T1142,110.0,1.0,110.0,110.0,PACKAGED TEA,MAIN PACKS,MAIN PACKS,GUJ TEA PROCESSORS,WAGH BAKRI,WAGH BAKRI PATTI LEAF
835,M1,N1,10,T1143,9.8,1.0,9.8,9.8,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,GENERAL MILLS,PILLSBURY,PILLSBURY
836,M1,N1,10,T1144,10.0,1.0,10.0,10.0,BISCUITS - CORE & NON CORE,NON-SALT CRACKER,NON-SALT CRACKER,BRITANNIA INDS,50-50,50-50 MSK CK
837,M1,N1,10,T1147,40.0,1.0,10.0,10.0,CHOCOLATE,MOULDED,MOULDED,MONDELEZ INTERNATIONAL,CADBURY DAIRY MILK,DAIRY MILK
838,M1,N1,10,T1147,40.0,1.0,10.0,10.0,BISCUITS - CORE & NON CORE,NON-SALT CRACKER,NON-SALT CRACKER,BRITANNIA INDS,LITTLE HEARTS,LITTLE HEARTS
839,M1,N1,10,T1147,40.0,2.0,20.0,10.0,CHOCOLATE,MOULDED,MOULDED,MONDELEZ INTERNATIONAL,CADBURY DAIRY MILK,DAIRY MILK
840,M1,N1,10,T1148,5.0,1.0,5.0,5.0,CHOCOLATE,MOULDED,MOULDED,MONDELEZ INTERNATIONAL,CADBURY DAIRY MILK,DAIRY MILK
841,M1,N1,10,T1149,60.0,1.0,10.0,10.0,BISCUITS - CORE & NON CORE,NON-SALT CRACKER,NON-SALT CRACKER,BRITANNIA INDS,LITTLE HEARTS,LITTLE HEARTS
842,M1,N1,10,T1149,60.0,1.0,10.0,10.0,CONFECTIONERY - TOFFEE/HBC,TOFFEES,TOFFEES,PERFETTI VAN MELLE,CHUPA CHUPS,CHUPA CHUPS SOUR BITES
843,M1,N1,10,T1149,60.0,1.0,10.0,10.0,SALTY SNACKS (2/97),POTATO WAFERS,POTATO WAFERS,PEPSICO INDIA,LAYS,LAYS MAGIC MASALA
844,M1,N1,10,T1149,60.0,3.0,30.0,10.0,SALTY SNACKS (2/97),POTATO WAFERS,POTATO WAFERS,PEPSICO INDIA,LAYS,LAYS AMERICAN STYLE
845,M1,N1,10,T1152,40.0,1.0,10.0,10.0,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,PARLE PRODS,PARLE HIDE & SEEK,HIDE & SEEK CHOCOLATE CHIP
846,M1,N1,10,T1152,40.0,1.0,30.0,30.0,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,PARLE PRODS,PARLE HIDE & SEEK,HIDE & SEEK CHOCOLATE CHIP
847,M1,N1,10,T1153,15.0,3.0,15.0,5.0,CHOCOLATE,SUGAR PANNED,SUGAR PANNED,MONDELEZ INTERNATIONAL,GEMS,GEMS
848,M1,N1,10,T1156,5.0,1.0,5.0,5.0,CONFECTIONERY - LOLLIPOP/FMR,LOLIPOPS,LOLIPOPS,PERFETTI VAN MELLE,CHUPA CHUPS,CHUPA CHUPS
849,M1,N1,10,T1158,9.8,2.0,9.8,4.9,BISCUITS - CORE & NON CORE,MARIE,MARIE,BRITANNIA INDS,MARIE GOLD,VITA MARIE GOLD
850,M1,N1,10,T1159,160.0,1.0,10.0,10.0,BISCUITS - CORE & NON CORE,CREAM,CREAM,MONDELEZ INTERNATIONAL,OREO,OREO STRAWBERRY
851,M1,N1,10,T1159,160.0,1.0,10.0,10.0,BISCUITS - CORE & NON CORE,CREAM,CREAM,MONDELEZ INTERNATIONAL,OREO,OREO CHOCOLATE
852,M1,N1,10,T1159,160.0,2.0,20.0,10.0,BISCUITS - CORE & NON CORE,NON-SALT CRACKER,NON-SALT CRACKER,PARLE PRODS,PARLE KRACK JACK,PARLE KRACK JACK
853,M1,N1,10,T1159,160.0,6.0,120.0,20.0,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,BRITANNIA INDS,GOOD DAY,GOOD DAY CHUNKIES
854,M1,N1,10,T1164,70.0,1.0,10.0,10.0,CHOCOLATE,MOULDED,MOULDED,MONDELEZ INTERNATIONAL,CADBURY DAIRY MILK,DAIRY MILK
855,M1,N1,10,T1164,70.0,3.0,60.0,20.0,CHOCOLATE,MOULDED,MOULDED,MONDELEZ INTERNATIONAL,CADBURY DAIRY MILK,DAIRY MILK
856,M1,N1,10,T1166,20.0,1.0,10.0,10.0,SALTY SNACKS (2/97),POTATO WAFERS,POTATO WAFERS,PEPSICO INDIA,LAYS,LAYS CHILE LIMON
857,M1,N1,10,T1166,20.0,1.0,10.0,10.0,SALTY SNACKS (2/97),POTATO WAFERS,POTATO WAFERS,PEPSICO INDIA,LAYS,LAYS AMERICAN STYLE
858,M1,N1,10,T1168,19.8,1.0,9.8,9.8,VERMICELLI & NOODLE,INSTANT NOODLES,INSTANT NOODLES,CAPITAL FOODS,CHING'S SECRET,CHING'S SECRET
859,M1,N1,10,T1168,19.8,1.0,10.0,10.0,CHOCOLATE,COATED WAFER BISC,COATED WAFER BISC,NESTLE INDIA,KIT KAT,KITKAT
860,M1,N1,10,T1169,10.0,1.0,10.0,10.0,CONFECTIONERY - TOTAL GUM,CHEWING GUMS,CHEWING GUMS,PERFETTI VAN MELLE,HAPPYDENT,HAPPYDENT WHITE BAKING SODA
861,M1,N1,10,T1171,5.0,1.0,5.0,5.0,BISCUITS - CORE & NON CORE,GLUCOSE,GLUCOSE,PARLE PRODS,PARLE-G,PARLE-G
862,M1,N1,10,T1173,10.0,1.0,10.0,10.0,WASHING POWDERS/LIQUIDS,WASHING POWDERS/LIQUIDS,WASHING POWDERS/LIQUIDS,HINDUSTAN UNILEVER LIMITED,WHEEL,WHEEL ACTIVE
863,M1,N1,10,T1174,10.0,1.0,10.0,10.0,BISCUITS - CORE & NON CORE,CREAM,CREAM,MONDELEZ INTERNATIONAL,OREO,OREO STRAWBERRY
864,M1,N1,10,T1176,112.0,1.0,10.0,10.0,CONFECTIONERY - TOTAL GUM,CHEWING GUMS,CHEWING GUMS,PERFETTI VAN MELLE,HAPPYDENT,HAPPYDENT WHITE BAKING SODA
865,M1,N1,10,T1176,112.0,1.0,102.0,102.0,CHEESE        (4/94),PROCESSED CHEESE,PROCESSED CHEESE,G C M M F,AMUL,AMUL
866,M1,N1,10,T1177,5.0,1.0,5.0,5.0,VERMICELLI & NOODLE,NOODLES,NOODLES,SUPREME NUTRI GRAIN PVT LTD,ZOOPY,ZOOPY
867,M1,N1,10,T1178,15.0,1.0,10.0,10.0,CONFECTIONERY - TOFFEE/HBC,TOFFEES,TOFFEES,PERFETTI VAN MELLE,CHUPA CHUPS,CHUPA CHUPS SOUR BITES
868,M1,N1,10,T1178,15.0,1.0,5.0,5.0,CHOCOLATE,SUGAR PANNED,SUGAR PANNED,MONDELEZ INTERNATIONAL,GEMS,GEMS
869,M1,N1,10,T1179,10.0,1.0,10.0,10.0,SALTY SNACKS (2/97),EXTRUDED SNACKS,EXTRUDED SNACKS,GUILTFREE INDUSTRIES,TOO YUMM,TOO YUMM MULTIGRAIN CHIPS
870,M1,N1,10,T1180,19.0,1.0,19.0,19.0,ALL IODISED SALT,POWDERED SALT,POWDERED SALT,TATA CHEM,TATA,TATA SALT
871,M1,N1,10,T1182,20.0,1.0,10.0,10.0,SALTY SNACKS (2/97),GATHIA/PAPRI/RIBLON,GATHIA/PAPRI/RIBLON,PEPSICO INDIA,KUR KURE,KUR KURE CHILLI CHATKA
872,M1,N1,10,T1182,20.0,1.0,10.0,10.0,SALTY SNACKS (2/97),GATHIA/PAPRI/RIBLON,GATHIA/PAPRI/RIBLON,PEPSICO INDIA,KUR KURE,KUR KURE MASALA MUNCH
873,M1,N1,10,T1183,10.0,1.0,5.0,5.0,CHOCOLATE,COATED WAFER BISC,COATED WAFER BISC,GANDOUR INDIA FOOD PROCESSING,GANDOUR,GANDOUR
874,M1,N1,10,T1183,10.0,1.0,5.0,5.0,BISCUITS - CORE & NON CORE,WAFER CREAM,WAFER CREAM,GARUDA POLYFEX FOOD PVT LTD,GONE MAD,GONE MAD
875,M1,N1,10,T1185,60.0,1.0,10.0,10.0,VERMICELLI & NOODLE,INSTANT NOODLES,INSTANT NOODLES,I T C,SUNFEAST YIPPEE NOODLES,SUNFEAST YIPPEE MAGIC MASALA
876,M1,N1,10,T1185,60.0,5.0,50.0,10.0,READY TO EAT,READY TO COOK SOUPS,READY TO COOK SOUPS,HINDUSTAN UNILEVER LIMITED,KNORR,KNORR
877,M1,N1,10,T1187,20.0,1.0,20.0,20.0,SALTY SNACKS (2/97),POTATO WAFERS,POTATO WAFERS,PEPSICO INDIA,LAYS,LAYS MAXX
878,M1,N1,10,T1188,40.0,1.0,20.0,20.0,SALTY SNACKS (2/97),POTATO WAFERS,POTATO WAFERS,PEPSICO INDIA,LAYS,LAYS SPANISH TOMATO TANGO
879,M1,N1,10,T1188,40.0,2.0,20.0,10.0,SALTY SNACKS (2/97),GATHIA/PAPRI/RIBLON,GATHIA/PAPRI/RIBLON,I T C,BINGO MAD ANGLES,BINGO MADANGLES TOM MISCHIEF
880,M1,N1,10,T1189,10.0,2.0,10.0,5.0,VERMICELLI & NOODLE,NOODLES,NOODLES,SUPREME NUTRI GRAIN PVT LTD,ZOOPY,ZOOPY
881,M1,N1,10,T1190,5.0,1.0,5.0,5.0,VERMICELLI & NOODLE,NOODLES,NOODLES,SUPREME NUTRI GRAIN PVT LTD,ZOOPY,ZOOPY
882,M1,N1,10,T1193,80.0,1.0,10.0,10.0,SALTY SNACKS (2/97),POTATO WAFERS,POTATO WAFERS,PEPSICO INDIA,LAYS,LAYS CLASSIC SALTED
883,M1,N1,10,T1193,80.0,1.0,60.0,60.0,BISCUITS - CORE & NON CORE,ASSORTED BISCUITS,ASSORTED BISCUITS,PARLE PRODS,PARLE CHEESLING,CHEESLING
884,M1,N1,10,T1193,80.0,1.0,10.0,10.0,VERMICELLI & NOODLE,NOODLES,NOODLES,SUPREME NUTRI GRAIN PVT LTD,ZOOPY,ZOOPY
885,M1,N1,10,T1194,330.0,1.0,330.0,330.0,DIAPERS       (8/93),DIAPERS       (8/93),DIAPERS       (8/93),UNICHARM INDIA PVT LTD,MAMY POKO PANTS,MAMY POKO PANTS STANDARD
886,M1,N1,10,T1195,28.0,1.0,28.0,28.0,TOILET SOAPS (04/00),PREMIUM,PREMIUM,WIPRO CONS PRODS,SANTOOR,SANTOOR
887,M1,N1,10,T1200,10.0,1.0,10.0,10.0,CONFECTIONERY - TOFFEE/HBC,TOFFEES,TOFFEES,U FOODS INDIA PVT LTD,YOLI YOLA,YOLI YOLA
888,M1,N1,10,T1201,10.0,1.0,10.0,10.0,BREAKFAST CEREALS,READY TO EAT CEREALS,KIDS,KELLOGG'S INDIA,KELLOGG'S KPAK,KELLOGG'S KPAK CHOCOS DISCOVRY
889,M1,N1,10,T1205,24.0,2.0,24.0,12.0,DIAPERS       (8/93),DIAPERS       (8/93),DIAPERS       (8/93),UNICHARM INDIA PVT LTD,MAMY POKO PANTS,MAMY POKO PANTS STANDARD
890,M1,N1,11,T1206,10.0,1.0,10.0,10.0,READY TO EAT,READY TO COOK SOUPS,READY TO COOK SOUPS,CAPITAL FOODS,CHING'S SECRET,CHING'S SECRET
891,M1,N1,11,T1208,9.0,3.0,9.0,3.0,SHAMPOO - BY SEGMENTS,SACHETS,SACHETS,L'OREAL INDIA,L'OREAL,L'OREAL PARIS
892,M1,N1,11,T1211,361.8,2.0,24.0,12.0,BATTERIES,NON-ALKALINE,AAA-SIZE,EVEREADY INDS,EVEREADY,EVEREADY 1012
893,M1,N1,11,T1211,361.8,1.0,5.0,5.0,BISCUITS - CORE & NON CORE,NON-SALT CRACKER,NON-SALT CRACKER,PARLE PRODS,PARLE KRACK JACK,PARLE KRACK JACK
894,M1,N1,11,T1211,361.8,1.0,5.0,5.0,BISCUITS - CORE & NON CORE,SALT CRACKER,SALT CRACKER,PARLE PRODS,MONACO,MONACO
895,M1,N1,11,T1211,361.8,1.0,10.0,10.0,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,BRITANNIA INDS,GOOD DAY,GOOD DAY CASHEW
896,M1,N1,11,T1211,361.8,1.0,215.0,215.0,PACKAGED PURE GHEE,PACKAGED PURE GHEE,PACKAGED PURE GHEE,G C M M F,SAGAR,SAGAR
897,M1,N1,11,T1211,361.8,1.0,93.0,93.0,REFINED EDIBLE OILS-ALL PACKS,SUN FLOWER,SUN FLOWER,LIBERTY OIL MILLS,SUNDAY,SUNDAY
898,M1,N1,11,T1211,361.8,1.0,9.8,9.8,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,UNIBIC BISCUITS,UNIBIC,UNIBIC
899,M1,N1,11,T1213,110.0,1.0,110.0,110.0,CHEESE        (4/94),PROCESSED CHEESE,PROCESSED CHEESE,G C M M F,AMUL,AMUL
900,M1,N1,11,T1214,10.0,1.0,10.0,10.0,BISCUITS - CORE & NON CORE,CREAM,CREAM,MONDELEZ INTERNATIONAL,OREO,OREO CHOCOLATE
901,M1,N1,11,T1215,34.2,1.0,34.2,34.2,KETCHUPS/SAUCES,KETCHUPS/SAUCES,KETCHUPS/SAUCES,DR OETKER INDIA PVT LTD,FUN FOODS,FUN FOODS
902,M1,N1,11,T1216,58.0,1.0,10.0,10.0,TOOTH PASTES,TOOTH PASTES,TOOTH PASTES,COLGATE-PALMOLIVE,COLGATE MAX FRESH,COLGATE MAXFRSH SPICY FRSH RED
903,M1,N1,11,T1216,58.0,1.0,28.0,28.0,BISCUITS - CORE & NON CORE,MARIE,MARIE,BRITANNIA INDS,MARIE GOLD,MARIE GOLD REGULAR
904,M1,N1,11,T1216,58.0,4.0,20.0,5.0,VERMICELLI & NOODLE,NOODLES,NOODLES,SUPREME NUTRI GRAIN PVT LTD,ZOOPY,ZOOPY
905,M1,N1,11,T1217,34.5,1.0,34.5,34.5,GLUCOSE POWDER & TABLET,GLUCOSE POWDER & TABLET,GLUCOSE POWDER & TABLET,HEINZ,GLUCON-D,GLUCON-D ORANGE
906,M1,N1,11,T1220,14.0,1.0,14.0,14.0,SPICES (03/04),PURE,CORIANDER/DHANI-PURE SPICES,S NARENDRA KUMAR,EVEREST,EVEREST
907,M1,N1,11,T1221,10.0,1.0,10.0,10.0,CHOCOLATE,MOULDED,MOULDED,MONDELEZ INTERNATIONAL,CADBURY DAIRY MILK,DAIRY MILK
908,M1,N1,11,T1223,89.0,1.0,39.0,39.0,COCONUT OIL PKTYP (08/02),BRANDED,RIGID,MARICO INDS,PARACHUTE,PARACHUTE
909,M1,N1,11,T1223,89.0,2.0,20.0,10.0,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,BRITANNIA INDS,NUTRICHOICE,NUTRICHOICE DIGESTIVE
910,M1,N1,11,T1223,89.0,3.0,30.0,10.0,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,BRITANNIA INDS,GOOD DAY,GOOD DAY CASHEW
911,M1,N1,11,T1225,71.0,5.0,25.0,5.0,CONFECTIONERY - LOLLIPOP/FMR,LOLIPOPS,LOLIPOPS,PERFETTI VAN MELLE,CHUPA CHUPS,CHUPA CHUPS
912,M1,N1,11,T1225,71.0,1.0,46.0,46.0,BUTTER MARGR  (4/94),BUTTER,SALTED,G C M M F,AMUL,AMUL
913,M1,N1,11,T1226,10.0,1.0,10.0,10.0,CONFECTIONERY - TOFFEE/HBC,TOFFEES,TOFFEES,PERFETTI VAN MELLE,CHUPA CHUPS,CHUPA CHUPS SOUR BITES
914,M1,N1,11,T1227,60.0,1.0,60.0,60.0,TWIN BLADES,TWIN BLADES-SYSTEMS,TWIN BLADES-SYSTEMS,PROCTER & GAMBLE,GILLETTE,SIMPLY VENUS
915,M1,N1,11,T1228,10.0,1.0,10.0,10.0,BISCUITS - CORE & NON CORE,CREAM,CREAM,MONDELEZ INTERNATIONAL,OREO,GOLDEN OREO
916,M1,N1,11,T1229,10.0,1.0,10.0,10.0,BISCUITS - CORE & NON CORE,NON-SALT CRACKER,NON-SALT CRACKER,BRITANNIA INDS,LITTLE HEARTS,LITTLE HEARTS
917,M1,N1,11,T1231,120.0,1.0,100.0,100.0,PACKAGED PURE GHEE,PACKAGED PURE GHEE,PACKAGED PURE GHEE,SCHREIBER DYNAMIX DAIRIES LTD,DYNAMIX,DYNAMIX
918,M1,N1,11,T1231,120.0,2.0,20.0,10.0,CONFECTIONERY - TOTAL GUM,CHEWING GUMS,CHEWING GUMS,PERFETTI VAN MELLE,HAPPYDENT,HAPPYDENT WHITE BAKING SODA
919,M1,N1,11,T1232,30.0,1.0,30.0,30.0,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,PARLE PRODS,PARLE HIDE & SEEK,HIDE & SEEK CHOCOLATE CHIP
920,M1,N1,11,T1233,20.0,1.0,10.0,10.0,CONFECTIONERY - TOFFEE/HBC,TOFFEES,TOFFEES,PERFETTI VAN MELLE,CHUPA CHUPS,CHUPA CHUPS SOUR BITES
921,M1,N1,11,T1233,20.0,1.0,10.0,10.0,VERMICELLI & NOODLE,INSTANT NOODLES,INSTANT NOODLES,I T C,SUNFEAST YIPPEE NOODLES,SUNFEAST YIPPEE MAGIC MASALA
922,M1,N1,11,T1235,5.0,1.0,5.0,5.0,SQSH CRDLS & SFT DRNK-CONVERTD,CONCTN POWDERS,CONCTN POWDERS,RASNA PVT LTD,RASNA,RASNA INSTA
923,M1,N1,11,T1238,141.0,2.0,20.0,10.0,BISCUITS - CORE & NON CORE,CREAM,CREAM,MONDELEZ INTERNATIONAL,OREO,OREO CHOCOLATE
924,M1,N1,11,T1238,141.0,1.0,10.0,10.0,SALTY SNACKS (2/97),POTATO WAFERS,POTATO WAFERS,PEPSICO INDIA,LAYS,LAYS AMERICAN STYLE
925,M1,N1,11,T1238,141.0,5.0,25.0,5.0,CLEANERS - UTENSIL,TRADITIONAL,BARS,HINDUSTAN UNILEVER LIMITED,VIM,VIM
926,M1,N1,11,T1238,141.0,4.0,20.0,5.0,DETERGENT CAKES/BARS,DETERGENT CAKES/BARS,DETERGENT CAKES/BARS,HINDUSTAN UNILEVER LIMITED,RIN,RIN ADVANCED
927,M1,N1,11,T1238,141.0,1.0,66.0,66.0,LIQUID TOILET SOAPS  (8/93),HAND WASH,HAND WASH,B V BIO CORP PVT LIMITED,REZILON,REZILON
928,M1,N1,11,T1239,19.8,1.0,9.8,9.8,BREAKFAST CEREALS,READY TO EAT CEREALS,KIDS,KELLOGG'S INDIA,KELLOGG'S KPAK,KELLOGG'S KPAK CRUNCHY BITES
929,M1,N1,11,T1239,19.8,2.0,10.0,5.0,SQSH CRDLS & SFT DRNK-CONVERTD,CONCTN POWDERS,CONCTN POWDERS,MONDELEZ INTERNATIONAL,TANG,TANG
930,M1,N1,11,T1240,90.0,1.0,90.0,90.0,PACKAGED PURE GHEE,PACKAGED PURE GHEE,PACKAGED PURE GHEE,G C M M F,AMUL,AMUL
931,M1,N1,11,T1243,10.0,1.0,10.0,10.0,CHOCOLATE,MOULDED,MOULDED,MONDELEZ INTERNATIONAL,CADBURY DAIRY MILK,DAIRY MILK
932,M1,N1,11,T1244,39.0,1.0,39.0,39.0,COCONUT OIL PKTYP (08/02),BRANDED,RIGID,MARICO INDS,PARACHUTE,PARACHUTE
933,M1,N1,11,T1245,20.0,1.0,20.0,20.0,SALTY SNACKS (2/97),POTATO WAFERS,POTATO WAFERS,PEPSICO INDIA,LAYS,LAYS MAXX
934,M1,N1,11,T1247,20.0,1.0,20.0,20.0,SALTY SNACKS (2/97),POTATO WAFERS,POTATO WAFERS,PEPSICO INDIA,LAYS,LAYS MAXX
935,M1,N1,11,T1248,195.0,1.0,10.0,10.0,TOILET SOAPS (04/00),POPULAR,POPULAR,RECKITT BENCKISER,DETTOL,DETTOL ORIGINAL
936,M1,N1,11,T1248,195.0,1.0,10.0,10.0,PACKAGED TEA,MAIN PACKS,MAIN PACKS,HASMUKHRAI & CO,SOCIETY,SOCIETY LEAF
937,M1,N1,11,T1248,195.0,1.0,175.0,175.0,PACKAGED ATTA (1/95),ATTA,ATTA,SANGHVI FOODS PVT LTD,SILVER COIN,SILVER COIN
938,M1,N1,11,T1249,38.0,1.0,10.0,10.0,CHOCOLATE,COATED WAFER BISC,COATED WAFER BISC,NESTLE INDIA,KIT KAT,KITKAT
939,M1,N1,11,T1249,38.0,1.0,28.0,28.0,TOILET SOAPS (04/00),PREMIUM,PREMIUM,WIPRO CONS PRODS,SANTOOR,SANTOOR
940,M1,N1,11,T1250,20.0,1.0,20.0,20.0,CHOCOLATE,MOULDED,MOULDED,MARS INTERNATIONAL INDIA P LTD,GALAXY,GALAXY
941,M1,N1,11,T1252,570.0,1.0,5.0,5.0,VERMICELLI & NOODLE,INSTANT NOODLES,INSTANT NOODLES,I T C,SUNFEAST YIPPEE NOODLES,SUNFEAST YIPPEE MAGIC MASALA
942,M1,N1,11,T1252,570.0,1.0,20.0,20.0,BREAKFAST CEREALS,READY TO EAT CEREALS,KIDS,KELLOGG'S INDIA,KELLOGG'S KPAK,KELLOGG'S CHOCOS FILLS KPAK
943,M1,N1,11,T1252,570.0,1.0,120.0,120.0,VANASPATI CONS PACK (8/94),VANASPATI CONS PACK (8/94),VANASPATI CONS PACK (8/94),BUNGE INDIA PRIVATE LIMITED,DALDA,DALDA
944,M1,N1,11,T1252,570.0,1.0,425.0,425.0,PACKAGED PURE GHEE,PACKAGED PURE GHEE,PACKAGED PURE GHEE,G C M M F,SAGAR,SAGAR
945,M1,N1,11,T1253,30.0,3.0,30.0,10.0,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,PARLE PRODS,PARLE HIDE & SEEK,HIDE & SEEK CHOCOLATE CHIP
946,M1,N1,11,T1255,45.0,1.0,20.0,20.0,CHOCOLATE,MOULDED,MOULDED,MARS INTERNATIONAL INDIA P LTD,GALAXY,GALAXY
947,M1,N1,11,T1255,45.0,1.0,25.0,25.0,SALTY SNACKS (2/97),EXTRUDED SNACKS,EXTRUDED SNACKS,PEPSICO INDIA,DORITOS,DORITOS
948,M1,N1,11,T1256,93.0,1.0,93.0,93.0,REFINED EDIBLE OILS-ALL PACKS,SUN FLOWER,SUN FLOWER,LIBERTY OIL MILLS,SUNDAY,SUNDAY
949,M1,N1,11,T1259,5.0,1.0,5.0,5.0,CHOCOLATE,MOULDED,MOULDED,MONDELEZ INTERNATIONAL,CADBURY DAIRY MILK,DAIRY MILK
950,M1,N1,11,T1261,10.0,1.0,10.0,10.0,CHOCOLATE,MOULDED,MOULDED,MONDELEZ INTERNATIONAL,CADBURY DAIRY MILK,DAIRY MILK
951,M1,N1,11,T1262,29.6,1.0,5.0,5.0,CONFECTIONERY - LOLLIPOP/FMR,LOLIPOPS,LOLIPOPS,PERFETTI VAN MELLE,CHUPA CHUPS,CHUPA CHUPS
952,M1,N1,11,T1262,29.6,1.0,5.0,5.0,CHOCOLATE,MOULDED,MOULDED,MONDELEZ INTERNATIONAL,CADBURY DAIRY MILK,DAIRY MILK
953,M1,N1,11,T1262,29.6,1.0,19.6,19.6,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,BRITANNIA INDS,GOOD DAY,GOOD DAY CASHEW
954,M1,N1,11,T1263,5.0,1.0,5.0,5.0,BISCUITS - CORE & NON CORE,NON-SALT CRACKER,NON-SALT CRACKER,PARLE PRODS,PARLE KRACK JACK,PARLE KRACK JACK
955,M1,N1,11,T1264,67.0,1.0,67.0,67.0,BUTTER MARGR  (4/94),MARGARINE,MARGARINE,G C M M F,DELICIOUS,DELICIOUS
956,M1,N1,11,T1265,45.0,1.0,5.0,5.0,BISCUITS - CORE & NON CORE,SALT CRACKER,SALT CRACKER,PARLE PRODS,MONACO,MONACO
957,M1,N1,11,T1265,45.0,2.0,10.0,5.0,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,BRITANNIA INDS,GOOD DAY,GOOD DAY BUTTER
958,M1,N1,11,T1265,45.0,3.0,30.0,10.0,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,BRITANNIA INDS,GOOD DAY,GOOD DAY CASHEW
959,M1,N1,11,T1267,10.0,1.0,10.0,10.0,CHOCOLATE,CHOCOLATE PANNED,CHOCOLATE PANNED,MONDELEZ INTERNATIONAL,CADBURY SHOTS,CADBURY SHOTS
960,M1,N1,11,T1269,15.0,1.0,10.0,10.0,SALTY SNACKS (2/97),POTATO WAFERS,POTATO WAFERS,PEPSICO INDIA,LAYS,LAYS CHILE LIMON
961,M1,N1,11,T1269,15.0,1.0,5.0,5.0,PACKAGED TEA,MAIN PACKS,MAIN PACKS,HASMUKHRAI & CO,SOCIETY,SOCIETY LEAF
962,M1,N1,11,T1270,47.0,1.0,5.0,5.0,SQSH CRDLS & SFT DRNK-CONVERTD,CONCTN POWDERS,CONCTN POWDERS,MONDELEZ INTERNATIONAL,TANG,TANG
963,M1,N1,11,T1270,47.0,1.0,10.0,10.0,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,PARLE PRODS,PARLE HIDE & SEEK,HIDE & SEEK CHOCOLATE CHIP
